207014,2857745
207035,2857735
207042,2857730
207048,2857723
207048,2857720
207043,2857711
207037,2857705
207028,2857689
207024,2857679
207019,2857673
207015,2857664
207014,2857659
207014,2857656
207012,2857646
207005,2857641
207006,2857635
207015,2857639
207024,2857641
207029,2857643
207031,2857647
207034,2857649
207034,2857657
207036,2857659
207045,2857660
207052,2857659
207057,2857657
207070,2857658
207074,2857657
207089,2857651
207095,2857650
207104,2857653
207106,2857656
207108,2857665
207112,2857672
207121,2857672
207134,2857670
207137,2857668
207156,2857673
207160,2857667
207164,2857660
207172,2857659
207179,2857658
207188,2857658
207195,2857654
207199,2857654
207206,2857656
207209,2857661
207218,2857664
207219,2857670
207225,2857673
207236,2857678
207249,2857683
207260,2857692
207264,2857696
207261,2857714
207262,2857714
207263,2857719
207269,2857722
207277,2857728
207282,2857735
207286,2857738
207292,2857740
207302,2857752
207310,2857756
207317,2857760
207320,2857758
207326,2857758
207331,2857759
207339,2857766
207349,2857771
207361,2857775
207375,2857785
207382,2857790
207386,2857797
207391,2857807
207398,2857818
207398,2857824
207398,2857828
207395,2857834
207397,2857839
207389,2857839
207383,2857840
207381,2857843
207382,2857854
207380,2857852
207376,2857846
207370,2857839
207363,2857833
207351,2857827
207347,2857832
207345,2857838
207332,2857850
207324,2857867
207320,2857871
207319,2857874
207320,2857882
207322,2857885
207334,2857892
207335,2857898
207330,2857906
207328,2857916
207329,2857919
207336,2857929
207341,2857943
207340,2857947
207342,2857954
207348,2857960
207354,2857970
207357,2857973
207362,2857983
207363,2857992
207378,2858006
207378,2858007
207384,2858010
207393,2858018
207397,2858018
207405,2858022
207414,2858024
207422,2858024
207435,2858024
207442,2858020
207446,2858005
207451,2857997
207457,2857988
207463,2857985
207478,2857978
207483,2857976
207488,2857976
207490,2857977
207494,2857986
207498,2857991
207504,2857994
207511,2858004
207516,2858008
207531,2858007
207543,2858012
207547,2858014
207559,2858021
207576,2858028
207580,2858031
207584,2858032
207589,2858040
207591,2858046
207591,2858059
207595,2858064
207602,2858070
207609,2858072
207625,2858080
207632,2858079
207641,2858074
207650,2858068
207660,2858064
207664,2858064
207683,2858070
207686,2858070
207708,2858076
207716,2858075
207729,2858076
207737,2858077
207743,2858078
207753,2858079
207763,2858082
207764,2858081
207778,2858081
207789,2858080
207800,2858081
207807,2858084
207825,2858085
207838,2858085
207846,2858085
207858,2858085
207870,2858081
207897,2858077
207900,2858073
207916,2858068
207933,2858061
207939,2858061
207946,2858062
207949,2858062
207946,2858054
207947,2858050
207951,2858044
207950,2858037
207945,2858032
207938,2858022
207934,2858019
207923,2858018
207913,2858009
207912,2858000
207913,2857992
207917,2857987
207921,2857983
207925,2857973
207928,2857963
207930,2857963
207938,2857964
207943,2857958
207941,2857954
207943,2857947
207946,2857942
207949,2857943
207959,2857940
207967,2857934
207973,2857928
207975,2857925
207976,2857916
207980,2857911
207985,2857907
207997,2857895
208001,2857896
208005,2857899
208010,2857895
208016,2857884
208016,2857878
208010,2857869
208011,2857857
208008,2857850
208005,2857845
208006,2857839
208002,2857834
207992,2857828
207986,2857820
207986,2857816
207978,2857805
207974,2857805
207968,2857802
207967,2857799
207969,2857793
207968,2857788
207959,2857776
207953,2857766
207948,2857755
207952,2857743
207958,2857720
207952,2857715
207950,2857708
207946,2857702
207936,2857692
207934,2857677
207937,2857668
207940,2857657
207942,2857647
207945,2857646
207951,2857648
207956,2857644
207961,2857636
207965,2857639
207985,2857642
207991,2857640
207991,2857637
208002,2857632
208017,2857631
208024,2857630
208031,2857629
208036,2857626
208045,2857630
208052,2857628
208054,2857625
208050,2857614
208049,2857607
208049,2857601
208046,2857594
208038,2857583
208040,2857576
208046,2857566
208044,2857552
208043,2857547
208033,2857537
208029,2857527
